name_hh_member,relation_to_hh_head,gender_hh_member,age_hh_member,parent_key
glanville,1,0,64,uuid:0096689e-95b2-4d28-95b9-458d4a41245e
jamey,3,0,11,uuid:0096689e-95b2-4d28-95b9-458d4a41245e
jedidiah,3,0,9,uuid:0096689e-95b2-4d28-95b9-458d4a41245e
corrie,2,1,41,uuid:0096689e-95b2-4d28-95b9-458d4a41245e
gaenor,3,1,15,uuid:0096689e-95b2-4d28-95b9-458d4a41245e
lucile,3,1,2,uuid:0096689e-95b2-4d28-95b9-458d4a41245e
lennon,1,0,50,uuid:0123ae9a-3d88-4653-a308-6df67eb3a5be
lothaire,3,0,5,uuid:0123ae9a-3d88-4653-a308-6df67eb3a5be
josepha,2,1,44,uuid:0123ae9a-3d88-4653-a308-6df67eb3a5be
maris,3,1,12,uuid:0123ae9a-3d88-4653-a308-6df67eb3a5be
chastity,3,1,7,uuid:0123ae9a-3d88-4653-a308-6df67eb3a5be
lorainne,3,1,1,uuid:0123ae9a-3d88-4653-a308-6df67eb3a5be
luke,5,0,18,uuid:016d6c08-f6bb-428d-bfd6-03d3b9e023cc
manley,13,0,3,uuid:016d6c08-f6bb-428d-bfd6-03d3b9e023cc
kassia,1,1,84,uuid:016d6c08-f6bb-428d-bfd6-03d3b9e023cc
sallie,3,1,43,uuid:016d6c08-f6bb-428d-bfd6-03d3b9e023cc
neriah,5,1,12,uuid:016d6c08-f6bb-428d-bfd6-03d3b9e023cc
mortimer,2,0,67,uuid:0190acc4-91e1-4fa6-aced-ed03894f43c8
myron,5,0,5,uuid:0190acc4-91e1-4fa6-aced-ed03894f43c8
nehemiah,5,0,2,uuid:0190acc4-91e1-4fa6-aced-ed03894f43c8
arlette,1,1,66,uuid:0190acc4-91e1-4fa6-aced-ed03894f43c8
kayla,3,1,25,uuid:0190acc4-91e1-4fa6-aced-ed03894f43c8
opeyemi,1,0,36,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
seward,3,0,15,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
trevelyan,3,0,4,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
tiara,2,1,30,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
shyla,3,1,12,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
georgine,3,1,10,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
iona,3,1,9,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
sera,3,1,1,uuid:01edb35c-66f5-4e36-a658-9654df5ceb6f
wymond,13,0,2,uuid:02127901-a1c8-4ad2-937a-d31800c1ff52
deniece,1,1,72,uuid:02127901-a1c8-4ad2-937a-d31800c1ff52
jos_e,3,1,51,uuid:02127901-a1c8-4ad2-937a-d31800c1ff52
lynda,5,1,3,uuid:02127901-a1c8-4ad2-937a-d31800c1ff52
zebulon,2,0,65,uuid:023d1424-ba8d-452e-883d-403500849628
zuberi,3,0,13,uuid:023d1424-ba8d-452e-883d-403500849628
tessie,1,1,47,uuid:023d1424-ba8d-452e-883d-403500849628
holly,3,1,22,uuid:023d1424-ba8d-452e-883d-403500849628
karenza,3,1,6,uuid:023d1424-ba8d-452e-883d-403500849628
baylee,5,1,2,uuid:023d1424-ba8d-452e-883d-403500849628
laraine,1,1,61,uuid:023fe5ff-4a49-41a9-8070-a2e050c33179
noella,3,1,20,uuid:023fe5ff-4a49-41a9-8070-a2e050c33179
cherilyn,3,1,37,uuid:023fe5ff-4a49-41a9-8070-a2e050c33179
earlene,5,1,1,uuid:023fe5ff-4a49-41a9-8070-a2e050c33179
camron,2,0,74,uuid:02a1cb5d-3460-4923-aed3-373c23928b5b
alexandrie,1,1,64,uuid:02a1cb5d-3460-4923-aed3-373c23928b5b
kylee,5,1,1,uuid:02a1cb5d-3460-4923-aed3-373c23928b5b
diamond,3,1,21,uuid:02a1cb5d-3460-4923-aed3-373c23928b5b
ige,4,1,5,uuid:02a1cb5d-3460-4923-aed3-373c23928b5b
dalton,1,0,48,uuid:02b646b4-5864-4e87-89a0-e24224ffaddc
emmanuel,3,0,14,uuid:02b646b4-5864-4e87-89a0-e24224ffaddc
grover,3,0,13,uuid:02b646b4-5864-4e87-89a0-e24224ffaddc
kobina,3,0,4,uuid:02b646b4-5864-4e87-89a0-e24224ffaddc
amber,3,1,17,uuid:02b646b4-5864-4e87-89a0-e24224ffaddc
baldric,3,0,7,uuid:0304e8b4-6ff7-4a75-a811-d5339cd960e6
gussie,1,1,35,uuid:0304e8b4-6ff7-4a75-a811-d5339cd960e6
edythe,3,1,11,uuid:0304e8b4-6ff7-4a75-a811-d5339cd960e6
eulalia,3,1,9,uuid:0304e8b4-6ff7-4a75-a811-d5339cd960e6
carrie,3,1,3,uuid:0304e8b4-6ff7-4a75-a811-d5339cd960e6
dave,1,0,41,uuid:038db129-7a7a-400d-95ff-b02447c1a470
denzel,3,0,13,uuid:038db129-7a7a-400d-95ff-b02447c1a470
virgie,2,1,37,uuid:038db129-7a7a-400d-95ff-b02447c1a470
melita,3,1,5,uuid:038db129-7a7a-400d-95ff-b02447c1a470
luella,3,1,0,uuid:038db129-7a7a-400d-95ff-b02447c1a470
lindon,3,0,17,uuid:04056c39-f453-4454-a8b4-6c2f231b23ae
marcellin,5,0,2,uuid:04056c39-f453-4454-a8b4-6c2f231b23ae
